customer_id,first_name,last_name,email,signup_date,city
1,Sophie,Dupont,customer_1@ecommerce.fr,2025-06-05,Toulouse
2,Thomas,Bertrand,customer_2@ecommerce.fr,2024-08-04,Bordeaux
3,Marie,Lefebvre,customer_3@ecommerce.fr,2024-06-18,Lille
4,Olivier,Bernard,customer_4@ecommerce.fr,2025-12-16,Saint-Étienne
5,Emma,Thomas,customer_5@ecommerce.fr,2025-01-22,Reims
6,Wenya,Lefebvre,customer_6@ecommerce.fr,2024-11-01,Lyon
7,Université,Robert,customer_7@ecommerce.fr,2025-07-05,Saint-Étienne
8,Luc,Lefebvre,customer_8@ecommerce.fr,2025-01-05,Reims
9,Thomas,Morel,customer_9@ecommerce.fr,2025-04-12,Bordeaux
10,Raphaël,Roux,customer_10@ecommerce.fr,2025-10-14,Toulouse
11,Jean,Robert,customer_11@ecommerce.fr,2024-07-17,Marseille
12,Patricia,Bernard,customer_12@ecommerce.fr,2025-09-18,Le Havre
13,Thomas,Roux,customer_13@ecommerce.fr,2025-11-19,Le Havre
14,David,Laurent,customer_14@ecommerce.fr,2025-09-16,Lille
15,Emma,Roux,customer_15@ecommerce.fr,2024-07-15,Marseille
16,Wenya,Lefebvre,customer_16@ecommerce.fr,2024-09-09,Rennes
17,David,Vincent,customer_17@ecommerce.fr,2025-01-21,Saint-Étienne
18,Hélène,David,customer_18@ecommerce.fr,2025-10-16,Saint-Étienne
19,Karine,Roux,customer_19@ecommerce.fr,2024-12-02,Rennes
20,David,Moreau,customer_20@ecommerce.fr,2024-07-29,Nice
21,Alice,Laurent,customer_21@ecommerce.fr,2025-09-20,Saint-Étienne
22,Clara,Martin,customer_22@ecommerce.fr,2024-06-23,Nantes
23,Emma,Laurent,customer_23@ecommerce.fr,2026-01-13,Lille
24,Raphaël,Robert,customer_24@ecommerce.fr,2024-12-08,Bordeaux
25,Quentin,Laurent,customer_25@ecommerce.fr,2024-10-20,Le Havre
26,Alice,Moreau,customer_26@ecommerce.fr,2025-05-27,Paris
27,Marie,Fournier,customer_27@ecommerce.fr,2024-10-03,Strasbourg
28,Bob,Robert,customer_28@ecommerce.fr,2025-02-23,Nantes
29,Clara,Bertrand,customer_29@ecommerce.fr,2024-10-12,Lyon
30,David,Lefebvre,customer_30@ecommerce.fr,2025-03-25,Saint-Étienne
31,Nicolas,Garcia,customer_31@ecommerce.fr,2026-03-15,Bordeaux
32,François,Bertrand,customer_32@ecommerce.fr,2024-11-19,Nice
33,Zoé,Michel,customer_33@ecommerce.fr,2024-12-29,Marseille
34,Thomas,Roux,customer_34@ecommerce.fr,2025-02-08,Nantes
35,Emma,Durand,customer_35@ecommerce.fr,2025-10-30,Paris
36,Raphaël,Vincent,customer_36@ecommerce.fr,2025-02-11,Marseille
